label,display,bleu,chrf,bleu_doc_macro,bleu_doc_concat,chrf_doc_macro,comet,htm,htm_hyp_ref_agreement,htm_en_ref_dataset,ccr_dataset,mean_s,p95_s
s1,S1 NLLB,18.89309393278912,31.89726984036258,18.89309393278912,43.82344840421337,31.89726984036258,,0.1651031894934334,0.4235294117647059,0.1575984990619137,0.32413793103448274,0.7660850393700788,3.8126
s2,S2 Mistral (doc),20.373991954102053,35.84933950528934,20.373991954102053,46.25683642562379,35.84933950528934,,0.24953095684803,0.48823529411764705,0.1575984990619137,0.32413793103448274,8.043731496062993,17.9094
s3,S3 GraphRAG,15.355992036495646,34.60333922730757,15.355992036495646,36.39998635054106,34.60333922730757,,0.2570356472795497,0.4176470588235294,0.1575984990619137,0.32413793103448274,3.5455244094488187,16.0126
s4,S4 rerank,15.656891938535903,34.91531092962859,15.656891938535903,37.191221130048454,34.91531092962859,,0.2570356472795497,0.4294117647058823,0.1575984990619137,0.32413793103448274,11.211746456692913,42.3225
s5,S5 NLLB + boost,17.542846791237313,31.01990512635287,17.542846791237313,41.34678974006422,31.01990512635287,,0.17448405253283303,0.3941176470588235,0.1575984990619137,0.32413793103448274,0.8931834645669291,3.9327
s5_mistral,S5 Mistral + boost,15.981296136122113,34.84602838074551,15.981296136122113,37.81502683711109,34.84602838074551,,0.2607879924953096,0.4294117647058823,0.1575984990619137,0.32413793103448274,3.5364031496062993,16.0477
