normalized_key,n_meddra_concepts,span_count_ner_biollm,span_count_ner_unsloth_full,example_surface_a,example_surface_b,has_planning_lock_ner_biollm,has_planning_lock_ner_unsloth_full,fr_snippet_a,fr_snippet_b
carcinome des voies biliaires,2,1,0,carcinome des voies biliaires,,0,0,"Les incidences des effets indésirables de Grades 3-5 chez les patients avec un CBNPC étaient de 69 % pour le traitement par pembrolizumab en association et de 61 % pour la chimiothérapie seule, chez les patients avec un CETEC étaient de 80 % pour le traitement par pembrolizumab en association (chimiothérapie ou RT avec ou sans chimiothérapie) et de 79 % pour la chimiothérapie avec cétuximab ou RT ",
douleur abdominale,2,0,1,,douleur abdominale,0,0,,"⁎ Les termes suivants représentent un groupe d’évènements liés qui décrivent un état pathologique plutôt qu’un évènement isolé : • anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif) • réaction liée à la perfusion (hypersensibilité médicamenteuse, réaction anaphylactique, réaction anaphylactoïde, hypersensibilité, réaction d’hypersensibilité liée à la perfusi"
douleur abdominale haute,2,0,1,,douleur abdominale haute,0,0,,"⁎ Les termes suivants représentent un groupe d’évènements liés qui décrivent un état pathologique plutôt qu’un évènement isolé : • anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif) • réaction liée à la perfusion (hypersensibilité médicamenteuse, réaction anaphylactique, réaction anaphylactoïde, hypersensibilité, réaction d’hypersensibilité liée à la perfusi"
fatigue,2,3,2,fatigue,fatigue,0,0,"Dans cette population de patients, la durée d’observation médiane était de 8,5 mois (de 1 jour à 39 mois) et les effets indésirables les plus fréquents avec pembrolizumab étaient : fatigue (31 %), diarrhée (22 %) et nausée (20 %).","Dans cette population de patients, les effets indésirables les plus fréquents étaient : anémie (51 %), nausées (50 %), fatigue (36 %), diarrhées (35 %), constipation (32 %), vomissements (27 %), et diminution de l’appétit (26 %)."
hypopituitarisme,2,0,1,,hypopituitarisme,0,0,,"⁎ Les termes suivants représentent un groupe d’évènements liés qui décrivent un état pathologique plutôt qu’un évènement isolé : • anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif) • réaction liée à la perfusion (hypersensibilité médicamenteuse, réaction anaphylactique, réaction anaphylactoïde, hypersensibilité, réaction d’hypersensibilité liée à la perfusi"
pneumopathie inflammatoire,2,4,11,pneumopathie inflammatoire,Pneumopathie inflammatoire,0,0,"La pneumopathie inflammatoire était plus fréquente chez les patients ayant des antécédents d’irradiation thoracique antérieure (8,1 %) que chez les patients n'ayant pas reçu d’irradiation thoracique préalable (3,9 %).","⁎ Les termes suivants représentent un groupe d’évènements liés qui décrivent un état pathologique plutôt qu’un évènement isolé : • anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif) • réaction liée à la perfusion (hypersensibilité médicamenteuse, réaction anaphylactique, réaction anaphylactoïde, hypersensibilité, réaction d’hypersensibilité liée à la perfusi"
toux,2,2,2,toux,toux,0,0,"Dans ces populations de patients, les effets indésirables les plus fréquents étaient : diarrhée (58 %), hypertension (54 %), hypothyroïdie (46 %), fatigue (41 %), diminution de l'appétit (40 %), nausées (40 %), arthralgie (30 %), vomissements (28 %), perte de poids (28 %), dysphonie (28 %), douleurs abdominales (28 %), protéinurie (27 %), syndrome main-pied (26 %), éruption cutanée (26 %), stomati","Dans ces populations de patients, les effets indésirables les plus fréquents étaient : diarrhée (58 %), hypertension (54 %), hypothyroïdie (46 %), fatigue (41 %), diminution de l'appétit (40 %), nausées (40 %), arthralgie (30 %), vomissements (28 %), perte de poids (28 %), dysphonie (28 %), douleurs abdominales (28 %), protéinurie (27 %), syndrome main-pied (26 %), éruption cutanée (26 %), stomati"
